zip_code,year_month,bait,clean_ups,compliance,initial,sighting,zip_year_month
10003,2014-01,8.0,0.0,4.0,12.0,6.0,10003 2014-01
10003,2014-02,0.0,0.0,4.0,72.0,11.0,10003 2014-02
10003,2014-03,9.0,0.0,7.0,758.0,7.0,10003 2014-03
10003,2014-04,27.0,0.0,15.0,515.0,8.0,10003 2014-04
10003,2014-05,20.0,0.0,45.0,0.0,8.0,10003 2014-05
10003,2014-06,10.0,0.0,9.0,4.0,9.0,10003 2014-06
10003,2014-07,11.0,0.0,12.0,10.0,7.0,10003 2014-07
10003,2014-08,14.0,0.0,1.0,7.0,7.0,10003 2014-08
10003,2014-09,5.0,0.0,4.0,20.0,14.0,10003 2014-09
10003,2014-10,7.0,0.0,8.0,19.0,11.0,10003 2014-10
10003,2014-11,18.0,0.0,8.0,12.0,8.0,10003 2014-11
10003,2014-12,27.0,0.0,6.0,11.0,7.0,10003 2014-12
10003,2015-01,17.0,0.0,7.0,10.0,6.0,10003 2015-01
10003,2015-02,13.0,0.0,0.0,8.0,5.0,10003 2015-02
10003,2015-03,22.0,0.0,7.0,480.0,4.0,10003 2015-03
10003,2015-04,28.0,0.0,40.0,487.0,10.0,10003 2015-04
10003,2015-05,21.0,0.0,7.0,5.0,9.0,10003 2015-05
10003,2015-06,24.0,0.0,28.0,50.0,8.0,10003 2015-06
10003,2015-07,25.0,0.0,18.0,19.0,5.0,10003 2015-07
10003,2015-08,43.0,0.0,23.0,13.0,5.0,10003 2015-08
10003,2015-09,24.0,0.0,5.0,28.0,7.0,10003 2015-09
10003,2015-10,29.0,0.0,9.0,11.0,6.0,10003 2015-10
10003,2015-11,12.0,0.0,4.0,20.0,6.0,10003 2015-11
10003,2015-12,10.0,0.0,2.0,3.0,5.0,10003 2015-12
10003,2016-01,5.0,0.0,5.0,885.0,2.0,10003 2016-01
10003,2016-02,72.0,0.0,1.0,6.0,8.0,10003 2016-02
10003,2016-03,41.0,0.0,4.0,3.0,3.0,10003 2016-03
10003,2016-04,32.0,0.0,137.0,6.0,9.0,10003 2016-04
10003,2016-05,93.0,0.0,3.0,70.0,11.0,10003 2016-05
10003,2016-06,120.0,0.0,7.0,29.0,12.0,10003 2016-06
10003,2016-07,62.0,0.0,31.0,247.0,6.0,10003 2016-07
10003,2016-08,63.0,0.0,21.0,196.0,10.0,10003 2016-08
10003,2016-09,56.0,0.0,17.0,21.0,15.0,10003 2016-09
10003,2016-10,35.0,0.0,9.0,35.0,14.0,10003 2016-10
10003,2016-11,28.0,0.0,8.0,259.0,6.0,10003 2016-11
10003,2016-12,38.0,0.0,34.0,915.0,7.0,10003 2016-12
10003,2017-01,56.0,0.0,57.0,435.0,8.0,10003 2017-01
10003,2017-02,116.0,0.0,80.0,81.0,6.0,10003 2017-02
10003,2017-03,113.0,0.0,17.0,9.0,4.0,10003 2017-03
10003,2017-04,124.0,0.0,3.0,16.0,3.0,10003 2017-04
10003,2017-05,93.0,0.0,23.0,47.0,7.0,10003 2017-05
10003,2017-06,36.0,0.0,29.0,19.0,7.0,10003 2017-06
10003,2017-07,49.0,0.0,7.0,10.0,7.0,10003 2017-07
10003,2017-08,67.0,0.0,6.0,369.0,13.0,10003 2017-08
10003,2017-09,42.0,0.0,19.0,50.0,11.0,10003 2017-09
10003,2017-10,53.0,0.0,43.0,500.0,9.0,10003 2017-10
